,상호명,상권업종대분류명,표준산업분류명,시군구명,도로명주소,경도,위도
3227,영일상회,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 명서로130번길 1-29,129.101003143714,35.2100364056741
3228,낙원떡집,음식,떡류 제조업,동래구,부산광역시 동래구 여고로135번길 55,129.077105659337,35.2018053989135
3229,이화건강식품,소매,건강 보조식품 소매업,남구,부산광역시 남구 수영로 216-2,129.09035581166,35.1348399050172
3230,애플편의점,소매,기타 음ㆍ식료품 위주 종합 소매업,연제구,부산광역시 연제구 반송로 33,129.084119999625,35.1883572432223
3231,다님슈퍼마켓,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 동래로197번가길 3,129.091768107861,35.2027647568945
3232,떡고을,음식,떡류 제조업,동래구,부산광역시 동래구 명안로45번길 79,129.100381023588,35.2013707745641
3233,럭키반찬코너,소매,조리 반찬류 소매업,동래구,부산광역시 동래구 충렬대로107번길 54,129.074433382732,35.2098604695493
3234,늘푸른야채나라,소매,"채소, 과실 및 뿌리작물 소매업",연제구,부산광역시 연제구 중앙대로1038번길 56,129.080080665749,35.1793253879913
3235,삼보상사,소매,기타 음ㆍ식료품 위주 종합 소매업,남구,부산광역시 남구 유엔평화로 122,129.095745943016,35.1252004713768
3236,파워C마트,소매,기타 음ㆍ식료품 위주 종합 소매업,연제구,부산광역시 연제구 과정로114번길 45,129.109788402987,35.1817068966362
3237,미가반찬,소매,조리 반찬류 소매업,연제구,부산광역시 연제구 세병로 21,129.083993471751,35.1904045201937
3238,이마트24연산한양점,소매,기타 음ㆍ식료품 위주 종합 소매업,연제구,부산광역시 연제구 과정로208번길 9,129.104399822871,35.1883542813934
3239,정관장홍삼연산9동점,소매,건강 보조식품 소매업,연제구,부산광역시 연제구 과정로 171-1,129.106970584787,35.1868435285133
3240,충렬슈퍼,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 명안로72번길 64,129.107612684694,35.2026028292402
3241,굿헬스,소매,건강 보조식품 소매업,연제구,부산광역시 연제구 연안로13번길 17,129.106120778012,35.1889515157895
3242,코아시스템,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 명안로9번길 10,129.103789086491,35.1975900077554
3243,미니슈퍼,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 충렬대로321번길 32-1,129.094683671108,35.2007103232675
3244,진성농산,소매,기타 식료품 소매업,연제구,부산광역시 연제구 월드컵대로10번길 14,129.087115118685,35.1758101439224
3245,홍삼나라,소매,건강 보조식품 소매업,동래구,부산광역시 동래구 사직북로47번길 30-1,129.05939031973,35.1982840310878
3246,비.티.엔,소매,건강 보조식품 소매업,연제구,부산광역시 연제구 거제시장로 21,129.071233613444,35.181134622228
3247,GS25연산해피점,소매,기타 음ㆍ식료품 위주 종합 소매업,연제구,부산광역시 연제구 고분로 116,129.094910175424,35.1856731979818
3248,조은날,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 안남로 84-9,129.101126431056,35.1931343778188
3249,월드탑마트,소매,기타 음ㆍ식료품 위주 종합 소매업,동래구,부산광역시 동래구 쇠미로71번길 31,129.05313649485,35.2004117714346
3250,GO세일마트,소매,기타 음ㆍ식료품 위주 종합 소매업,연제구,부산광역시 연제구 과정로225번길 26,129.101588772152,35.1867123236921
3251,담배포,소매,기타 음ㆍ식료품 위주 종합 소매업,연제구,부산광역시 연제구 고분로 99-1,129.093399770901,35.1860293697127
3252,그린유통,소매,"채소, 과실 및 뿌리작물 소매업",동래구,부산광역시 동래구 충렬대로107번길 54,129.074433382732,35.2098604695493
